import time: self [us] | cumulative | imported package
import time:      1678 |       1678 |   _io
import time:       101 |        101 |   marshal
import time:      2520 |       2520 |   posix
import time:      2093 |       6391 | _frozen_importlib_external
import time:      1108 |       1108 |   time
import time:       712 |       1820 | zipimport
import time:       557 |        557 |     _codecs
import time:      1197 |       1754 |   codecs
import time:      1962 |       1962 |   encodings.aliases
import time:      4702 |       8416 | encodings
import time:       931 |        931 | encodings.utf_8
import time:       225 |        225 | _signal
import time:       764 |        764 |     _abc
import time:       479 |       1243 |   abc
import time:      1137 |       2379 | io
import time:       610 |        610 |       _stat
import time:       543 |       1152 |     stat
import time:      2645 |       2645 |     _collections_abc
import time:       433 |        433 |       genericpath
import time:       494 |        926 |     posixpath
import time:       993 |       5715 |   os
import time:       125 |        125 |   _sitebuiltins
import time:       538 |        538 |   sitecustomize
import time:      1462 |       7838 | site
import time:      1168 |       1168 |       types
import time:       689 |        689 |         _operator
import time:      1080 |       1768 |       operator
import time:       734 |        734 |           itertools
import time:       933 |        933 |           keyword
import time:       929 |        929 |           reprlib
import time:       227 |        227 |           _collections
import time:      2405 |       5226 |         collections
import time:        93 |         93 |         _functools
import time:      1499 |       6818 |       functools
import time:      3582 |      13334 |     enum
import time:       652 |        652 |       _sre
import time:       813 |        813 |         re._constants
import time:      1336 |       2149 |       re._parser
import time:       667 |        667 |       re._casefix
import time:      1203 |       4669 |     re._compiler
import time:       971 |        971 |     copyreg
import time:      1927 |      20899 |   re
import time:      3245 |       3245 |   _ast
import time:      2195 |       2195 |   contextlib
import time:      4431 |      30769 | ast
import time:      1267 |       1267 |       warnings
import time:      1409 |       2675 |     importlib
import time:       899 |        899 |         collections.abc
import time:       760 |        760 |             token
import time:        93 |         93 |             _tokenize
import time:      3451 |       4303 |           tokenize
import time:       872 |       5174 |         linecache
import time:      2100 |       2100 |         textwrap
import time:      3192 |      11363 |       traceback
import time:      1112 |       1112 |         _weakrefset
import time:      1714 |       2826 |       weakref
import time:        67 |         67 |         _string
import time:      1569 |       1636 |       string
import time:      1663 |       1663 |       threading
import time:        74 |         74 |       atexit
import time:      4519 |      22079 |     logging
import time:      2699 |       2699 |       math
import time:      1816 |       1816 |         _bisect
import time:       707 |       2522 |       bisect
import time:      1489 |       1489 |       _random
import time:      2280 |       2280 |       _sha2
import time:      1407 |      10395 |     random
import time:    502175 |     502175 |     sklearn._config
import time:   1334909 |    1334909 |       sklearn.__check_build._check_build
import time:    508244 |    1843153 |     sklearn.__check_build
import time:    540050 |     540050 |     sklearn._distributor_init
import time:      1471 |       1471 |       copy
import time:      2545 |       2545 |             _opcode
import time:      1438 |       3982 |           opcode
import time:      2239 |       6220 |         dis
import time:       498 |        498 |         importlib.machinery
import time:      8261 |      14978 |       inspect
import time:       335 |        335 |         _wmi
import time:      3945 |       4280 |       platform
import time:    636935 |     636935 |             numpy._utils._convertions
import time:    381106 |    1018040 |           numpy._utils
import time:    436905 |    1454944 |         numpy._globals
import time:   1415751 |    1415751 |         numpy.exceptions
import time:   1234678 |    1234678 |         numpy.version
import time:       187 |        187 |           numpy._distributor_init_local
import time:   1726038 |    1726224 |         numpy._distributor_init
import time:   1876386 |    1876386 |                   numpy._utils._inspect
import time:     12145 |      12145 |                       _datetime
import time:      9932 |      22077 |                     datetime
import time:    539326 |     539326 |                     numpy.core._exceptions
import time:    972077 |     972077 |                     numpy.dtypes
import time:  35192460 |   36725939 |                   numpy.core._multiarray_umath
import time:   4494735 |   43097059 |                 numpy.core.overrides
import time:   1169679 |   44266737 |               numpy.core.multiarray
import time:    973024 |     973024 |               numpy.core.umath
import time:      3474 |       3474 |                 numbers
import time:    502818 |     502818 |                 numpy.core._string_helpers
import time:      1752 |       1752 |                         fnmatch
import time:       296 |        296 |                           _winapi
import time:       221 |        221 |                           nt
import time:       179 |        179 |                           nt
import time:       171 |        171 |                           nt
import time:       165 |        165 |                           nt
import time:       168 |        168 |                           nt
import time:       161 |        161 |                           nt
import time:      1298 |       2656 |                         ntpath
import time:      1093 |       1093 |                         errno
import time:      1694 |       1694 |                           urllib
import time:      9999 |       9999 |                           ipaddress
import time:     23099 |      34791 |                         urllib.parse
import time:      4960 |      45250 |                       pathlib
import time:       426 |        426 |                       pickle5
import time:      5043 |       5043 |                           _struct
import time:      2176 |       7219 |                         struct
import time:      1971 |       1971 |                         _compat_pickle
import time:      4740 |       4740 |                         _pickle
import time:      3947 |      17876 |                       pickle
import time:    650597 |     714147 |                     numpy.compat.py3k
import time:    632235 |    1346382 |                   numpy.compat
import time:   1580028 |    1580028 |                   numpy.core._dtype
import time:    599331 |    3525739 |                 numpy.core._type_aliases
import time:    589066 |    4621096 |               numpy.core.numerictypes
import time:      3964 |       3964 |                           _contextvars
import time:      2017 |       5980 |                         contextvars
import time:    761407 |     767386 |                       numpy.core._ufunc_config
import time:    630275 |    1397661 |                     numpy.core._methods
import time:    660839 |    2058500 |                   numpy.core.fromnumeric
import time:    735969 |    2794468 |                 numpy.core.shape_base
import time:    692775 |     692775 |                 numpy.core.arrayprint
import time:    544649 |     544649 |                 numpy.core._asarray
import time:    843316 |    4875206 |               numpy.core.numeric
import time:    787722 |     787722 |               numpy.core.defchararray
import time:    600857 |     600857 |               numpy.core.records
import time:    637274 |     637274 |               numpy.core.memmap
import time:    711391 |     711391 |               numpy.core.function_base
import time:    665836 |     665836 |               numpy.core._machar
import time:    889739 |     889739 |               numpy.core.getlimits
import time:    589218 |     589218 |               numpy.core.einsumfunc
import time:    855719 |     855719 |                 numpy.core._multiarray_tests
import time:   1448263 |    2303981 |               numpy.core._add_newdocs
import time:    768657 |     768657 |               numpy.core._add_newdocs_scalars
import time:    844415 |     844415 |               numpy.core._dtype_ctypes
import time:      4908 |       4908 |                   _ctypes
import time:      5505 |       5505 |                   ctypes._endian
import time:      5651 |      16064 |                 ctypes
import time:    788671 |     804734 |               numpy.core._internal
import time:    984600 |     984600 |               numpy._pytesttester
import time:    682069 |   66006548 |             numpy.core
import time:       555 |   66007102 |           numpy.core._multiarray_umath
import time:   1629133 |   67636235 |         numpy.__config__
import time:    500616 |     500616 |           numpy.lib.mixins
import time:    660137 |     660137 |               numpy.lib.ufunclike
import time:    644127 |    1304264 |             numpy.lib.type_check
import time:    612317 |    1916581 |           numpy.lib.scimath
import time:      1285 |       1285 |                       _typing
import time:     19208 |      20492 |                     typing
import time:    569058 |     569058 |                       numpy.lib.stride_tricks
import time:    551617 |    1120675 |                     numpy.lib.twodim_base
import time:    699317 |     699317 |                     numpy.linalg._umath_linalg
import time:      1813 |       1813 |                       __future__
import time:    539989 |     539989 |                       numpy._typing._nested_sequence
